"cpc_subclass","year","appearance_count","appearance_count_log","alt_count","alt_log","group_count","group_log","yearly_degree","cumulative_degree","yearly_degree_log","cumulative_degree_log","degree","closeness","betweenness","eigenvector","degree_log","closeness_log","betweenness_log","eigenvector_log","funded_count","funded_log","log_economic_output","section","class","closeness_sqrt","eigenvector_sqrt","alt_sqrt"
"A61F",2005,3053,8.02420748577858,12,2.56494935746154,2978,7.99934295271328,152,152,5.03043792139244,5.03043792139244,304,0,3337.604028639,0.0911145232540429,5.72031177660741,0,8.1133080431057,0.0871996722438383,1409,7.25134498337221,15.3851725951711,"A","A61",0,0.301851823340597,3.46410161513775
"A61G",2005,866,6.76503897678054,12,2.56494935746154,446,6.10255859461357,62,62,4.14313472639153,4.14313472639153,124,0,463.646298933064,0.0338479858548954,4.8283137373023,0,6.14127646869252,0.0332877496641617,112,4.72738781871234,15.3046301251416,"A","A61",0,0.183978221142872,3.46410161513775
"A61H",2005,374,5.92692602597041,12,2.56494935746154,492,6.20050917404269,50,50,3.93182563272433,3.93182563272433,100,0,128.001572440884,0.0340316027672495,4.61512051684126,0,4.8598245937516,0.0334653392238701,244,5.50125821054473,15.3851725951711,"A","A61",0,0.184476564276467,3.46410161513775
"A61J",2005,202,5.31320597904179,12,2.56494935746154,213,5.36597601502185,53,53,3.98898404656427,3.98898404656427,106,0,205.608089126845,0.0374295860091864,4.67282883446191,0,5.33082370948559,0.0367461019127096,118,4.77912349311153,15.2945550667354,"A","A61",0,0.193467273742063,3.46410161513775
"A61K",2005,11901,9.3844617322048,12,2.56494935746154,2305,7.743269700829,161,161,5.08759633523238,5.08759633523238,322,0,4552.10241856134,0.0912000237158384,5.77765232322266,0,8.423564129824,0.0872780298407832,24119,10.0907966508411,15.3128447004612,"A","A61",0,0.301993416676322,3.46410161513775
"A61L",2005,2151,7.67415292128168,12,2.56494935746154,597,6.39359075395063,162,162,5.09375020080676,5.09375020080676,324,0,3776.01779130037,0.0936994264119691,5.78382518232974,0,8.23669003313302,0.0895659189115882,2254,7.72090525193678,15.3851726951711,"A","A61",0,0.306103620383636,3.46410161513775
"A61M",2005,3341,8.11432470915534,12,2.56494935746154,1947,7.57455848420248,129,129,4.86753445045558,4.86753445045558,258,0,3292.49144622841,0.0767311742724512,5.55682806169954,0,8.09970351090974,0.0739297609566116,1311,7.17930796950403,15.3851725951711,"A","A61",0,0.277003924651712,3.46410161513775
"A61N",2005,1219,7.1066061377273,12,2.56494935746154,455,6.12249280951439,76,76,4.34380542185368,4.34380542185368,152,0,1289.70516146684,0.0484203414682898,5.03043792139244,0,7.16294398480025,0.0472845946713834,2096,7.64826303090192,15.3851725951711,"A","A61",0,0.22004622575334,3.46410161513775
"A61P",2005,22128,10.0046442444959,12,2.56494935746154,171,5.14749447681345,109,109,4.70048036579242,4.70048036579242,218,0,1788.98708472841,0.0624509902024505,5.3890717298165,0,7.48996368357324,0.0605784938842763,20952,9.95003711318911,NA,"A","A61",0,0.249901961181681,3.46410161513775
"A61Q",2005,957,6.86484777797086,12,2.56494935746154,51,3.95124371858143,80,80,4.39444915467244,4.39444915467244,160,0,425.501118201992,0.0501952994466536,5.08140436498446,0,6.05561498873836,0.0489761463466782,369,5.91350300563827,15.3851725951711,"A","A61",0,0.224043074980356,3.46410161513775
"A62B",2005,166,5.11799381241676,2,1.09861228866811,89,4.49980967033027,44,44,3.80666248977032,3.80666248977032,88,0,303.527530111943,0.0247755739564387,4.48863636973214,0,5.71876149393979,0.0244736363792102,197,5.28826703069454,15.2600462380989,"A","A62",0,0.157402585609128,1.4142135623731
"A62C",2005,136,4.91998092582813,2,1.09861228866811,155,5.04985600724954,28,28,3.36729582998647,3.36729582998647,56,0,60.041772325792,0.017739344054482,4.04305126783455,0,4.1115584220362,0.0175838382449179,90,4.51085950651685,15.1093129353465,"A","A62",0,0.133189128890018,1.4142135623731
"A62D",2005,54,4.00733318523247,2,1.09861228866811,61,4.12713438504509,37,37,3.63758615972639,3.63758615972639,74,0,166.607902976816,0.0226451296805655,4.31748811353631,0,5.12162734073589,0.0223925349807544,301,5.71042701737487,15.3851725951711,"A","A62",0,0.150482988010491,1.4142135623731
"A63B",2005,3194,8.06934236681164,7,2.07944154167984,1291,7.16394668434255,130,130,4.87519732320115,4.87519732320115,260,0,4235.63693801714,0.068729983609061,5.56452040732269,0,8.35152505850032,0.0664710123066034,148,5.00394630594546,14.9275595634735,"A","A63",0,0.262164039504012,2.64575131106459
"A63C",2005,344,5.84354441703136,7,2.07944154167984,308,5.73334127689775,51,51,3.95124371858143,3.95124371858143,102,0,306.506275748849,0.0282411316745979,4.63472898822964,0,5.72849549597766,0.0278497034129618,4,1.6094379124341,15.2591968153161,"A","A63",0,0.168050979391963,2.64575131106459
"A63D",2005,31,3.46573590279973,7,2.07944154167984,44,3.80666248977032,9,9,2.30258509299405,2.30258509299405,18,0,2.46428888177002,0.00643596220966793,2.94443897916644,0,1.24250738265313,0.006415339840783,0,0,12.2161813796785,"A","A63",0,0.080224448952099,2.64575131106459
"A63F",2005,990,6.89871453432999,7,2.07944154167984,1321,7.18690102041163,43,43,3.78418963391826,3.78418963391826,86,0,162.66505154787,0.0273740288578682,4.46590811865458,0,5.09782197073477,0.0270060602205914,61,4.12713438504509,13.8968240605408,"A","A63",0,0.165450986270461,2.64575131106459
"A63G",2005,68,4.23410650459726,7,2.07944154167984,95,4.56434819146784,23,23,3.17805383034795,3.17805383034795,46,0,214.022669089294,0.0101945498293798,3.85014760171006,0,5.37074346019413,0.0101429358970711,7,2.07944154167984,12.2161813796785,"A","A63",0,0.100968063413041,2.64575131106459
"A63H",2005,389,5.96614673912369,7,2.07944154167984,291,5.67675380226828,70,70,4.26267987704132,4.26267987704132,140,0,829.786914351125,0.0403079753376664,4.94875989037817,0,6.72237334121726,0.0395167994477795,36,3.61091791264422,15.3108054241908,"A","A63",0,0.200768462009516,2.64575131106459
"A63J",2005,14,2.70805020110221,7,2.07944154167984,35,3.58351893845611,7,7,2.07944154167984,2.07944154167984,14,0,8.41190378212708,0.00420806929074193,2.70805020110221,0,2.24197524791944,0.00419924012765114,5,1.79175946922805,13.7931348107239,"A","A63",0,0.0648696330399821,2.64575131106459
